first_name,last_name,email,title,phone,company_name,organization,city,state,website,normalized_org,root_domain,likely_provider,contact_type,category,category_confidence,category_source,contact_quality
Test,Ignore,iansnipper@hipaajournal.com,,860203588,HJ Test,,,,,hj test,hipaajournal.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
PJ -,test 5 Murray,pjmurray@greengalileo.com,,,Greengalileo Media,,,,www.greengalileo.com,greengalileo media,greengalileo.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
PJ,test 3 murray,pjmurray@scale-tone.com,,,Scaletone,,,,www.scaletone.net,scaletone,scale-tone.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
PJ -,test 2 Murray,pjmurray@scale-tone.com,,,Scaletone,,,,www.scaletone.net,scaletone,scale-tone.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
PJ,test 1 - - universities form Murray,pjmurray@scale-tone.com,,,Scaletone,,,,www.scaletone.net,scaletone,scale-tone.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
John,Doe,user@example.com,,,,,,,,,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
asdfa,asdf,reyeryewy2@sadfsdf.asdfa,,,,,,,,,sadfsdf.asdfa,False,company,Ambiguous / Needs Review,0.5,fallback,high
Becky,Smith,becky.smith@mailinator.com,,,Police Department,,,,,police department,mailinator.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
LASDFJ,adsfj,adsf@b.co,,,,,,,,,b.co,False,company,Ambiguous / Needs Review,0.5,fallback,high
test,test,tomdo@mailintor.com,,,,,,,,,mailintor.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
dfgh,asdfghjkl,wool.grouser@norton.me,,,,,,,,,norton.me,False,company,Ambiguous / Needs Review,0.5,fallback,high
dfk,asdfgkl,complianceofficer@norton.me,,,,,,,,,norton.me,False,company,Ambiguous / Needs Review,0.5,fallback,high
Fake,Fake,fake@fake.com,,,,,,,,,fake.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Testing,pHqghUme,testing@example.com,,,pHqghUme,,,,,phqghume,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
David,Adeyeye,david+spam@immunogeno.com,,,Immunogenomics,,,,www.immunogeno.com,immunogenomics,immunogeno.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
Test,Ignore,iansnipper@hipaajournal.com,,860203588,HIPAA Journal,,,,www.hipaajournal.com,hipaa journal,hipaajournal.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
MBWUpmEH,,testing@example.com,,555-666-0606,,,,,,,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
MBWUpmEH,,testing@example.com,,555-666-0606,,,,,,,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
MBWUpmEH,,testing@example.com,,555-666-0606,,,,,,,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
QlqzzNwr,,testing@example.com,,555-666-0606,,,,,,,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
JYupWMLW,,testing@example.com,,555-666-0606,,,,,,,example.com,False,company,Ambiguous / Needs Review,0.5,fallback,high
